id,date,note,attendeeIds,createdAt
s1732952878426,2025-11-17,Sân cầu suối,"p1,p2,p3,p6,p7,p12,p13,p14,p15,p16,p17,p18,p21,p23",2025-11-18T05:18:58.330Z
smi63mgmujb1,2025-11-19,Sân cầu suối,"p1,p2,p3,p4,p6,p7,p9,p13,p16,p18,p21,p22,p23,p14,p17",2025-11-19T14:29:36.054Z
smi93uaqgrzc,2025-11-21,Sân Cầu Suối,"p2,p3,p4,p5,p7,p8,p9,p11,p12,p14,p16,p18,p23,p22,p21",2025-11-21T16:59:00.184Z
smieva551okr,2025-11-25,Sân Cầu Suối,"p1,p2,p3,p4,p7,p11,p12,p13,p14,p15,p16,p20,p21,p22,p23",2025-11-25T17:45:59.941Z
smievfbd8n9r,2025-11-24,,"p23,p22,p21,p18,p15,p14,p13,p12,p7,p6,p4,p3,p2,p20",2025-11-25T17:50:01.292Z
